,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
169,7.8,0.8,1.0,0.1913883086450861,7.879873072330988,8.0,1.0,6.178126670000356,6.127949386511649,8.272704443657586,,,,4.491060395698004,,5.127202776452164,,1.4701758451005926,
170,8.2,-0.2,1.2,0.1002466983942117,8.526814161225802,1.0,1.0,6.199648763427664,7.315299557450139,7.462439498125733,3.5935792742596115,,5.087583989477163,5.527558291043413,,5.618242741540059,,,3.8034127707040972
171,7.8,-0.6,1.4,0.090740222421567,8.740024053772666,3.0,0.0,4.524458921546941,7.732954758847188,8.270792016172765,4.656024884206403,,4.830910363149568,6.746432104872084,,,2.403696594362457,1.6362745663876601,
172,7.8,-0.4,1.2,0.13276828552349199,8.240414658795828,6.0,1.0,6.951288794005747,7.174033412722687,7.208908210621762,6.103772622484096,,4.949298752258222,4.89507478679297,,,3.8570175663914164,3.3618673291982164,
173,8.25,0.5,1.0,0.0911532011403041,8.290537730260857,1.0,0.0,4.776085268933736,7.166103026495459,7.764666638394956,4.4675274964095415,,3.029360454533975,4.28606624352797,,2.552565298261815,2.034574920339729,,
174,7.75,0.25,0.5,0.10319575369873081,8.094266107051086,3.0,1.0,6.377298213266919,6.836970087964001,7.41080494822444,,,2.5980120958932726,4.094877753383759,,,,2.861629289030511,
175,8.0,-0.5,1.5,0.10467928797906652,8.086546265536182,3.0,0.0,5.625914622491203,6.846814544707423,8.117250108822757,,,3.833109659785168,5.506858824318021,,,4.1555494078330115,1.9523181453506435,
176,8.6,-0.2,1.6,0.16337733775865063,7.723735389882924,0.0,1.0,2.960623096440423,5.029967222395748,7.835669396817469,3.8993632072813553,,,4.648469110383239,,,,,
177,8.4,-0.2,1.0,0.16465071526667882,8.17996198667961,1.0,0.0,2.554821318511528,7.109571409092569,7.6206139062108464,,,3.2689603890356214,5.226036954158401,,,3.5629476825072626,,3.464328663102245
178,7.4,0.4,0.6,0.08363358459550868,9.14827814229211,3.0,1.0,7.623151112484769,8.392238626708277,7.4380705398915286,4.350161800583545,,,4.592955894308513,,,,1.6409365794934714,
179,7.6,0.4,0.4,0.097414340146311,8.072715076405613,2.0,0.0,6.2983295696015285,6.567794163294117,7.394218945485258,4.071434110638995,,4.135006543940991,5.314358024542068,,,,,
180,7.4,0.2,0.6,0.0786881382869165,8.120957362401969,2.0,0.0,6.750163017032581,6.709984596636334,7.591611431301175,4.181118411004139,,2.928470046494823,4.5935226156384745,,3.9916656330803426,,,
181,7.8,0.0,1.0,0.08363645439998374,7.746190842026358,1.0,0.0,9.882609413084039,6.529687415330861,7.646430164818043,4.278095652301839,,,4.513460516559967,,,3.0052864863588025,3.3740659642701214,
182,7.8,0.2,1.4,0.0871065604162596,8.080684374772076,0.0,3.0,6.425019741882357,6.689712446853734,7.223707702619556,3.8561719718881307,,1.8185636719801062,6.805357038119424,,,5.754187207723375,,
183,7.6,1.2,1.0,0.11442793762963631,8.256519616663766,6.0,0.0,5.572378341619281,7.0124791920515275,7.738842743704971,,,4.6680135211094,4.108609006235805,,2.9804155694420977,,,
184,6.8,0.2,0.8,0.07677201548523706,8.704261630349547,0.0,0.0,2.4036062070527735,6.593514286805075,8.35094968723484,,,,6.932050739547351,,,3.139572843529664,,
